this is a circnode:
Tree root:0 | self_url:http://wikipedia.org/wiki/Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#mw-navigation
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#p-search
Node key:inf | self_url:http://wikipedia.org/wiki/Peacock_(disambiguation)
Node key:inf | self_url:http://wikipedia.org/wiki/File:Paonroue.JPG
Node key:inf | self_url:http://wikipedia.org/wiki/Indian_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Plumage
Node key:inf | self_url:http://wikipedia.org/wiki/Biological_classification
Node key:inf | self_url:http://wikipedia.org/wiki/Animal
Node key:inf | self_url:http://wikipedia.org/wiki/Chordate
Node key:inf | self_url:http://wikipedia.org/wiki/Bird
Node key:inf | self_url:http://wikipedia.org/wiki/Galliformes
Node key:inf | self_url:http://wikipedia.org/wiki/Phasianidae
Node key:inf | self_url:http://wikipedia.org/wiki/Phasianinae
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_(genus)
Node key:inf | self_url:http://wikipedia.org/wiki/Carl_Linnaeus
Node key:inf | self_url:http://wikipedia.org/wiki/10th_edition_of_Systema_Naturae
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_cristatus
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_muticus
Node key:inf | self_url:http://wikipedia.org/wiki/Species
Node key:inf | self_url:http://wikipedia.org/wiki/Genus
Node key:inf | self_url:http://wikipedia.org/wiki/Pheasant
Node key:inf | self_url:http://wikipedia.org/wiki/Family_(biology)
Node key:inf | self_url:http://wikipedia.org/wiki/Covert_feathers
Node key:inf | self_url:http://wikipedia.org/wiki/Courtship
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-1
Node key:inf | self_url:http://wikipedia.org/wiki/Congo_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/South_Asia
Node key:inf | self_url:http://wikipedia.org/wiki/National_bird
Node key:inf | self_url:http://wikipedia.org/wiki/India
Node key:inf | self_url:http://wikipedia.org/wiki/Green_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/Burma
Node key:inf | self_url:http://wikipedia.org/wiki/Java_(island)
